Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value
int,String,String,String,String,String,String,String,int
2015,Level 3,AA12,Sheep Beef Cattle and Grain Farming,Percentage,H39,Return on equity,Financial ratios,4
2015,Level 3,AA12,Sheep Beef Cattle and Grain Farming,Percentage,H40,Return on total assets,Financial ratios,2
2015,Level 3,AA12,Sheep Beef Cattle and Grain Farming,Percentage,H41,Liabilities structure,Financial ratios,58
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H01,Total income,Financial performance,12979
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H02,Sales of goods not further processed,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H03,Sales of other goods and services,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H04,Sales government funding grants and subsidies,Financial performance,12393
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H05,Interest dividends and donations,Financial performance,171
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H06,Government funding grants and subsidies,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H07,Non-operating income,Financial performance,415
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H08,Total expenditure,Financial performance,11992
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H09,Interest and donations,Financial performance,1714
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H10,Indirect taxes,Financial performance,167
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H11,Depreciation,Financial performance,664
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H12,Salaries and wages paid,Financial performance,1360
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H13,Redundancy and severance,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,8035
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H20,Non-operating expenses,Financial performance,52
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H21,Opening stocks,Financial performance,6876
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H22,Closing stocks,Financial performance,6724
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H23,Surplus before income tax,Financial performance,834
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H24,Total assets,Financial position,62148
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H25,Current assets,Financial position,10544
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H26,Fixed tangible assets,Financial position,38315
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H29,Other assets,Financial position,13289
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H30,Total equity and liabilities,Financial position,62148
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,22688
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H32,Current liabilities,Financial position,9129
2015,Level 4,AA131,Dairy Cattle Farming,Dollars (millions),H33,Other liabilities,Financial position,30332
2015,Level 4,AA131,Dairy Cattle Farming,Dollars  ,H34,Total income per employee count(3),Financial ratios,477100
2015,Level 4,AA131,Dairy Cattle Farming,Dollars  ,H35,Surplus per employee count,Financial ratios,30700
2015,Level 4,AA131,Dairy Cattle Farming,Percentage,H36,Current ratio,Financial ratios,116
2015,Level 4,AA131,Dairy Cattle Farming,Percentage,H37,Quick ratio,Financial ratios,42
2015,Level 4,AA131,Dairy Cattle Farming,Percentage,H39,Return on equity,Financial ratios,4
2015,Level 4,AA131,Dairy Cattle Farming,Percentage,H40,Return on total assets,Financial ratios,1
